originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
4,State Colleges,4,State Colleges,SGSC,South Georgia State College,WAY,Waycross College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,9,14,13,5,12,9,16,20,7,9,2,0
3,State Universities,3,State Universities,CSU,Columbus State University,SSU,Savannah State University,691,801,890,788,844,859,880,964,938,1023,728,557,0,1,1,2,2,3,2,1,2,3,0,1
4,State Colleges,2,Comprehensive Universities,SGC,South Georgia College,UWG,University of West Georgia,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,4,1,4,5,5,0,1,5,3,4,2,0
3,State Universities,2,Comprehensive Universities,GCM,Georgia College & State University,KEN,Kennesaw State University,582,576,679,635,613,675,718,750,897,853,685,665,21,23,33,15,22,31,35,33,38,36,43,37
3,State Universities,4,State Colleges,SPS,Southern Polytechnic State University,ABC,Abraham Baldwin Agricultural College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,2,0,0,0,0,0,0,1,1,0,1
2,Comprehensive Universities,1,Research Universities,GSC,Georgia Southern University,AUG,Augusta State University,728,750,761,875,902,923,976,965,1101,1069,996,949,41,54,54,58,47,47,40,43,50,36,12,0
4,State Colleges,1,Research Universities,BAN,Bainbridge State College,GRU,Georgia Regents University,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,0,0,0,0,0,0,0,1,1,0,2,1
3,State Universities,2,Comprehensive Universities,AAS,Armstrong Atlantic State University,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,51,50,61,41,62,61,51,45,68,61,73,59
4,State Colleges,4,State Colleges,AMC,Atlanta Metropolitan State College,MID,Middle Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,1,1,2,0,3,2,2,2,2,0,0
1,Research Universities,3,State Universities,GSU,Georgia State University,GSW,Georgia Southwestern State University,436,407,418,376,360,378,409,384,369,436,388,333,5,6,7,4,3,9,8,9,5,9,8,7
3,State Universities,4,State Colleges,AAS,Armstrong Atlantic State University,SGSC,South Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,0,3
3,State Universities,3,State Universities,CSU,Columbus State University,NGC,North Georgia College & State University,691,801,890,788,844,859,880,964,938,1023,728,557,1,5,4,2,5,2,1,3,2,6,1,0
1,Research Universities,2,Comprehensive Universities,GRU,Georgia Regents University,UWG,University of West Georgia,457,438,425,401,353,377,397,398,369,403,352,335,0,0,0,1,0,0,0,0,0,0,0,0
4,State Colleges,3,State Universities,SGC,South Georgia College,GAN,Gainesville State College,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,2,4,2,4,2,3,8,9,2,3,3,0
3,State Universities,4,State Colleges,SSU,Savannah State University,DAL,Dalton State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,1,0,2,0,2,0
4,State Colleges,4,State Colleges,SGSC,South Georgia State College,DAR,Darton State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,5,3,4,6,7,12,20,19,14,23,15,26
4,State Colleges,4,State Colleges,GHC,Georgia Highlands College,EGC,East Georgia State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,3,1,1,2,6,2,1,8,1,0,4,0
4,State Colleges,2,Comprehensive Universities,DAR,Darton State College,VSU,Valdosta State University,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,52,50,53,43,57,54,35,49,52,44,39,50
3,State Universities,4,State Colleges,SPS,Southern Polytechnic State University,MGSC,Middle Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,3,6
1,Research Universities,2,Comprehensive Universities,UGA,University of Georgia,KEN,Kennesaw State University,457,438,425,401,353,377,397,398,369,403,352,335,119,102,90,89,68,56,66,85,63,63,80,80
